SchoolYear;RCDTS;School;Enrollment;FAEnrollment;iepp;eavpp;doepp;ALLCourses;FACourses;ALLTeachers;FATeachers;ALLTeachersCalc;FATeachersCalc
2017;1,30141E+14;Bartelso Elem School;158;155;4108;146418;6928;2171;620;12;9;13;10
2017;1,30141E+14;Germantown Elem School;246;165;4479;144586;6769;1710;203;14;1;15;2
2017;1,30141E+14;Damiansville Elem School;86;85;5597;189156;9223;1027;146;10;5;10;5
2017;1,30141E+14;Albers Elem School;199;0;4373;131891;6796;1092;0;12;0;12;0
2017;1,30141E+14;Central Comm High School;587;223;7153;541378;11984;7396;529;38;4;40;6
2017;1,30141E+14;St Rose Elem School;143;143;5479;173610;8015;1288;295;12;6;13;7
2017;1,30142E+14;North Wamac Grade School;158;0;4701;69684;8492;665;0;2;0;2;0
2017;1,3041E+14;Waltonville High School;128;52;5866;75221;9211;1759;123;13;2;15;4
2017;1,3041E+14;Waltonville Grade School;221;45;5866;75221;9211;1445;45;11;1;12;2
2017;1,3041E+14;Rome Comm Cons Elem School;345;0;5150;93501;8487;1417;0;22;0;22;0
2017;1,3041E+14;Field Elementary School;256;0;4351;85022;7030;;;;;;
2017;1,3041E+14;Opdyke-Belle Rive Grade Sch;167;0;5154;82970;8878;1016;0;12;0;12;0
2017;1,3041E+14;Grand Prairie Elem School;93;79;4744;97079;8712;661;79;6;4;6;4
2017;1,3041E+14;McClellan Elementary School;63;31;4665;127702;8558;1676;187;4;2;4;2
2017;1,30411E+14;Summersville Grade School;258;133;4724;92784;7284;1774;169;17;3;17;3
2017;1,30411E+14;Zadok Casey Middle School;428;197;7442;133027;12042;2704;233;33;3;36;6
2017;1,30411E+14;J L Buford Intermediate Ed Ctr;352;0;7442;133027;12042;1581;0;17;0;17;0
2017;1,30411E+14;Dr Nick Osborne Primary Center;746;0;7442;133027;12042;1633;0;34;0;34;0
